,mjd,ra,decl,band,exposure_time,reward
0,58955.11988138867,360.0,0,g,300.0,0.0
1,58955.12682583311,0.0,0,g,300.0,0.0
2,58955.13265916644,120.0,0,g,300.0,0.0
3,58955.13960361088,120.0,0,g,300.0,0.0
4,58955.14543694421,0.0,0,g,300.0,0.0
5,58955.152381388645,0.0,0,g,300.0,0.0
6,58955.15932583308,360.0,0,g,300.0,0.0
7,58955.16515916641,120.0,0,g,300.0,15.84694357063597
8,58955.17099249974,360.0,0,g,300.0,0.0
9,58955.17793694418,0.0,0,g,300.0,0.0
10,58955.18488138862,0.0,0,g,300.0,0.0
11,58955.191825833055,360.0,0,g,300.0,0.0
12,58955.196872129345,80.0,0,g,300.0,25.916104172111787
13,58955.201918425635,360.0,0,g,300.0,0.0
14,58955.20886287007,360.0,0,g,300.0,0.0
15,58955.21580731451,360.0,0,g,300.0,0.0
16,58955.22275175895,360.0,0,g,300.0,0.0
17,58955.22969620339,0.0,0,g,300.0,0.0
18,58955.236640647825,0.0,0,g,300.0,0.0
19,58955.24326101819,160.0,0,g,300.0,153.78560767690908
20,58955.24830731448,80.0,0,g,300.0,282.629599496367
21,58955.25256657374,120.0,0,g,300.0,68.76417879609754
22,58955.25839990707,360.0,0,g,300.0,0.0
23,58955.26265916633,320.0,0,g,300.0,0.0
24,58955.26691842559,360.0,0,g,300.0,0.0
25,58955.273862870024,360.0,0,g,300.0,0.0
26,58955.28048324039,160.0,0,g,300.0,138.58081388412367
27,58955.28474249965,120.0,0,g,300.0,41.23968782563147
28,58955.29057583298,360.0,0,g,300.0,0.0
29,58955.29752027742,0.0,0,g,300.0,0.0
30,58955.30335361075,120.0,0,g,300.0,29.027221913780224
31,58955.310298055185,120.0,0,g,300.0,25.39944570518535
32,58955.31455731444,160.0,0,g,300.0,112.4291960856635
33,58955.32117768481,0.0,0,g,300.0,0.0
34,58955.32812212925,0.0,0,g,300.0,0.0
35,58955.33506657369,0.0,0,g,300.0,0.0
36,58955.340899907016,120.0,0,g,300.0,13.726367731684595
37,58955.346733240345,360.0,0,g,300.0,0.0
38,58955.352566573674,120.0,0,g,300.0,26.012232830108474
39,58955.35951101811,120.0,0,g,300.0,128.58323350347388
