,mjd,ra,decl,band,exposure_time,reward
0,58233.12536354078,360.0,0,g,300.0,0.0
1,58233.131983911146,160.0,0,g,300.0,0.0
2,58233.138604281514,0.0,0,g,300.0,0.0
3,58233.14554872595,360.0,0,g,300.0,0.0
4,58233.15138205928,120.0,0,g,300.0,0.0
5,58233.15721539261,0.0,0,g,300.0,0.0
6,58233.16415983705,0.0,0,g,300.0,0.0
7,58233.171104281486,0.0,0,g,300.0,0.0
8,58233.176937614815,120.0,0,g,300.0,8.698692615670753
9,58233.18119687407,160.0,0,g,300.0,2.8514451800002996
10,58233.18781724444,360.0,0,g,300.0,0.0
11,58233.19476168888,0.0,0,g,300.0,0.0
12,58233.20138205925,160.0,0,g,300.0,2.872301594251054
13,58233.208002429616,360.0,0,g,300.0,0.0
14,58233.21494687405,360.0,0,g,300.0,0.0
15,58233.21999317034,80.0,0,g,300.0,3.6356460071368657
16,58233.22503946663,360.0,0,g,300.0,0.0
17,58233.23198391107,0.0,0,g,300.0,0.0
18,58233.23860428144,200.0,0,g,300.0,12.5127573729085
19,58233.24522465181,0.0,0,g,300.0,0.0
20,58233.252169096246,0.0,0,g,300.0,0.0
21,58233.258002429575,120.0,0,g,300.0,6.026895123688966
22,58233.263835762904,360.0,0,g,300.0,0.0
23,58233.27045613327,160.0,0,g,300.0,2.4961498200719237
24,58233.27707650364,360.0,0,g,300.0,0.0
25,58233.28402094808,360.0,0,g,300.0,0.0
26,58233.29064131845,200.0,0,g,300.0,13.669995909125706
27,58233.297261688815,360.0,0,g,300.0,0.0
28,58233.30388205918,160.0,0,g,300.0,2.1808649171172982
29,58233.31050242955,360.0,0,g,300.0,0.0
30,58233.31744687399,360.0,0,g,300.0,0.0
31,58233.32439131843,360.0,0,g,300.0,0.0
32,58233.331335762865,0.0,0,g,300.0,0.0
33,58233.337169096194,120.0,0,g,300.0,0.0
34,58233.34300242952,0.0,0,g,300.0,0.0
35,58233.34883576285,120.0,0,g,300.0,0.0
36,58233.35466909618,360.0,0,g,300.0,0.0
37,58233.36050242951,120.0,0,g,300.0,0.0
38,58233.36744687395,120.0,0,g,300.0,0.0
39,58233.371706133206,160.0,0,g,300.0,1.327056002819289
40,58233.378326503574,360.0,0,g,300.0,0.0
41,58233.38494687394,200.0,0,g,300.0,12.878015686391882
42,58233.3892061332,160.0,0,g,300.0,1.0965282161055092
43,58233.39582650357,360.0,0,g,300.0,0.0
44,58233.40277094801,0.0,0,g,300.0,0.0
45,58233.409391318375,160.0,0,g,300.0,0.8718526114906865
46,58233.41601168874,0.0,0,g,300.0,0.0
47,58233.42295613318,0.0,0,g,300.0,0.0
48,58233.42878946651,120.0,0,g,300.0,0.0
49,58233.43462279984,0.0,0,g,300.0,0.0
50,58233.44156724428,360.0,0,g,300.0,0.0
51,58233.448511688715,360.0,0,g,300.0,0.0
52,58233.45513205908,200.0,0,g,300.0,15.359330684445052
53,58233.46175242945,0.0,0,g,300.0,0.0
54,58233.46869687389,0.0,0,g,300.0,0.0
55,58233.47564131833,0.0,0,g,300.0,0.0
56,58233.48147465166,120.0,0,g,300.0,0.0
57,58233.487307984986,0.0,0,g,300.0,0.0
58,58233.494252429424,0.0,0,g,300.0,0.0
59,58233.50008576275,120.0,0,g,300.0,0.0
60,58233.50513205904,40.0,0,g,300.0,0.0
61,58233.5093913183,360.0,0,g,300.0,8.165728631836014
62,58233.51633576274,360.0,0,g,300.0,2.929403610802641
63,58233.52328020718,360.0,0,g,300.0,0.5887257554722414
64,58233.530224651615,360.0,0,g,300.0,0.18729476826285688
65,58233.53716909605,0.0,0,g,300.0,0.0
66,58233.54411354049,360.0,0,g,300.0,0.0
67,58233.55105798493,0.0,0,g,300.0,0.0
68,58233.5576783553,200.0,0,g,300.0,0.0
69,58234.11906500859,0.0,0,g,300.0,0.0
