,mjd,ra,decl,band,exposure_time,reward
0,59465.10114765912,240.0,0,g,300.0,1.2742607504895318
1,59465.10540691838,280.0,0,g,300.0,1.3457892229177446
2,59465.11235136282,280.0,0,g,300.0,1.3340002055007858
3,59465.11929580726,280.0,0,g,300.0,1.3172154214491911
4,59465.126240251695,280.0,0,g,300.0,1.3033007671940027
5,59465.13318469613,280.0,0,g,300.0,1.2921142217682018
6,59465.14012914057,280.0,0,g,300.0,1.283544179963144
7,59465.14707358501,280.0,0,g,300.0,1.2775066780505426
8,59465.15401802945,280.0,0,g,300.0,1.2739433601024075
9,59465.160962473885,280.0,0,g,300.0,1.2728200919133315
10,59465.16790691832,280.0,0,g,300.0,1.2741261607251886
11,59465.17485136276,280.0,0,g,300.0,1.2778740256704282
12,59465.1817958072,280.0,0,g,300.0,1.2840996080882974
13,59465.18874025164,280.0,0,g,300.0,1.2928631343355619
14,59465.195684696075,280.0,0,g,300.0,1.3042505680768386
15,59465.20262914051,280.0,0,g,300.0,1.3183756960185065
16,59465.20957358495,280.0,0,g,300.0,1.3353829626732363
17,59465.21383284421,320.0,0,g,300.0,1.3515242286850366
18,59465.22077728865,320.0,0,g,300.0,1.3390980205974756
19,59465.227721733085,320.0,0,g,300.0,1.321323245359622
20,59465.23466617752,320.0,0,g,300.0,1.3064688112594354
21,59465.24161062196,320.0,0,g,300.0,1.2943819409545085
22,59465.2485550664,320.0,0,g,300.0,1.2849413115644097
23,59465.25549951084,320.0,0,g,300.0,1.2780540113491838
24,59465.262443955275,320.0,0,g,300.0,1.2736532736478807
25,59465.26938839971,320.0,0,g,300.0,1.271696883499203
26,59465.27633284415,320.0,0,g,300.0,1.272166185436106
27,59465.28327728859,320.0,0,g,300.0,1.2750656488027516
28,59465.29022173303,320.0,0,g,300.0,1.280422971682981
29,59465.297166177465,320.0,0,g,300.0,1.2882897279512235
30,59465.3041106219,320.0,0,g,300.0,1.298742585686341
31,59465.31105506634,320.0,0,g,300.0,1.3118851509144065
32,59465.31799951078,320.0,0,g,300.0,1.3278505202459883
33,59465.32494395522,320.0,0,g,300.0,1.346804661741146
34,59465.329203214475,0.0,0,g,300.0,1.3377128957612285
35,59465.33614765891,0.0,0,g,300.0,1.3265455363940646
36,59465.34309210335,0.0,0,g,300.0,1.3107207214015943
37,59465.35003654779,0.0,0,g,300.0,1.297709782168397
38,59465.35698099223,0.0,0,g,300.0,1.2873811593858022
39,59465.363925436664,0.0,0,g,300.0,1.279632615287369
40,59465.3708698811,0.0,0,g,300.0,1.2743887190640066
41,59465.37781432554,0.0,0,g,300.0,1.271599035470274
42,59465.38475876998,0.0,0,g,300.0,1.2712369346645573
43,59465.391703214416,0.0,0,g,300.0,1.2732989706378248
44,59465.398647658854,0.0,0,g,300.0,1.2778048011283545
45,59465.40559210329,0.0,0,g,300.0,1.2847976455488492
46,59465.41253654773,0.0,0,g,300.0,1.2943453008431334
47,59465.41948099217,0.0,0,g,300.0,1.3065417599746638
48,59465.426425436606,0.0,0,g,300.0,1.321509505721508
49,59465.433369881044,0.0,0,g,300.0,1.3394025857285214
50,59465.4376291403,40.0,0,g,300.0,1.3449764199841638
51,59465.44457358474,40.0,0,g,300.0,1.3331561206282458
52,59465.45151802918,40.0,0,g,300.0,1.316319387141391
53,59465.458462473616,40.0,0,g,300.0,1.3023512028090067
54,59465.465406918054,40.0,0,g,300.0,1.291109076563032
55,59465.47235136249,40.0,0,g,300.0,1.2824809206460372
56,59465.47929580693,40.0,0,g,300.0,1.2763822656510229
57,59465.48624025137,40.0,0,g,300.0,1.2727542158704068
58,59465.493184695806,40.0,0,g,300.0,1.2715620515018031
59,59465.500129140244,40.0,0,g,300.0,1.2727944154287911
60,59465.50707358468,40.0,0,g,300.0,1.276463048958874
61,59465.51401802912,40.0,0,g,300.0,1.282603065044043
62,59465.52096247356,40.0,0,g,300.0,1.2912737708494433
63,59465.527906917996,40.0,0,g,300.0,1.3025600757030702
64,59465.534851362434,40.0,0,g,300.0,1.3165745471853825
65,59465.54179580687,40.0,0,g,300.0,1.333460209379382
66,59465.54874025131,40.0,0,g,300.0,1.3533942155824548
67,59465.55299951057,80.0,0,g,300.0,1.3336765371069532
68,59465.559943955006,80.0,0,g,300.0,1.3230621040521555
69,59465.566888399444,80.0,0,g,300.0,1.3081019960327467
70,59465.57383284388,80.0,0,g,300.0,1.2959187939214303
71,59466.100074985065,80.0,0,g,300.0,1.2863899885411456
