,mjd,ra,decl,band,exposure_time,reward
0,58349.127437282325,240.0,0,g,300.0,0.0
0,58349.13327061565,360.0,0,g,300.0,0.0
0,58349.14021506009,0.0,0,g,300.0,0.0
0,58349.14447431935,40.0,0,g,300.0,0.0
0,58349.14873357861,360.0,0,g,300.0,0.0
0,58349.155678023046,0.0,0,g,300.0,0.0
0,58349.162298393414,200.0,0,g,300.0,1.093663048648988
0,58349.16813172674,80.0,0,g,300.0,0.0
0,58349.17396506007,200.0,0,g,300.0,6.075310287503777
0,58349.1797983934,320.0,0,g,300.0,17.610135038886735
0,58349.18405765266,360.0,0,g,300.0,5.891947622549117
0,58349.18989098599,240.0,0,g,300.0,7.92708933737173
0,58349.19493728228,160.0,0,g,300.0,0.0
0,58349.19919654154,120.0,0,g,300.0,0.0
0,58349.205816911905,280.0,0,g,300.0,23.016118802788352
0,58349.210863208194,0.0,0,g,300.0,6.847714293012145
0,58349.21512246745,320.0,0,g,300.0,30.08824096867704
0,58349.22016876374,40.0,0,g,300.0,0.0
0,58349.22600209707,160.0,0,g,300.0,0.0
0,58349.23026135633,120.0,0,g,300.0,0.0
0,58349.23452061559,80.0,0,g,300.0,0.0
0,58349.24035394892,200.0,0,g,300.0,0.0
0,58349.244613208175,240.0,0,g,300.0,6.327904383869528
0,58349.250446541504,0.0,0,g,300.0,15.129440803372377
0,58349.25739098594,360.0,0,g,300.0,16.95847544352821
0,58349.26322431927,240.0,0,g,300.0,5.705071333001188
0,58349.26827061556,160.0,0,g,300.0,0.0
0,58349.27489098593,0.0,0,g,300.0,22.25932031824779
0,58349.28072431926,240.0,0,g,300.0,5.19703171962055
0,58349.28734468963,80.0,0,g,300.0,0.0
0,58349.293965059995,240.0,0,g,300.0,5.009286744977828
0,58349.299798393324,0.0,0,g,300.0,34.440008463241426
0,58349.304844689614,80.0,0,g,300.0,0.0
0,58349.3098909859,0.0,0,g,300.0,44.880843077688176
0,58349.31651135627,160.0,0,g,300.0,0.0
0,58349.32077061553,120.0,0,g,300.0,0.0
0,58349.32660394886,360.0,0,g,300.0,93.90563856949636
0,58349.33086320812,320.0,0,g,300.0,149.64550036505528
0,58349.335122467375,360.0,0,g,300.0,110.65764452423161
0,58349.340168763665,80.0,0,g,300.0,0.0
0,58349.34442802292,120.0,0,g,300.0,0.0
0,58349.35104839329,320.0,0,g,300.0,151.04683780980952
0,58349.35609468958,40.0,0,g,300.0,33.79830380189947
0,58349.36192802291,160.0,0,g,300.0,0.0
0,58349.36854839328,360.0,0,g,300.0,136.51533492150054
0,58349.37516876365,160.0,0,g,300.0,0.0
0,58349.381002096976,280.0,0,g,300.0,43.5356555467419
0,58349.387622467344,80.0,0,g,300.0,0.0
0,58349.39345580067,200.0,0,g,300.0,0.0
0,58349.399289134,320.0,0,g,300.0,124.13285041372727
0,58349.40623357844,320.0,0,g,300.0,118.77427922623731
0,58349.41285394881,120.0,0,g,300.0,0.0
0,58349.4179002451,200.0,0,g,300.0,0.0
0,58349.42452061547,360.0,0,g,300.0,156.32362271426274
0,58349.428779874725,320.0,0,g,300.0,99.6966101756817
0,58349.43572431916,320.0,0,g,300.0,93.45610066916201
0,58349.44234468953,160.0,0,g,300.0,0.0
0,58349.44660394879,120.0,0,g,300.0,0.0
0,58349.45354839323,120.0,0,g,300.0,0.0
0,58349.460168763595,280.0,0,g,300.0,0.0
0,58349.46711320803,280.0,0,g,300.0,0.0
0,58349.4737335784,120.0,0,g,300.0,0.0
0,58349.47877987469,40.0,0,g,300.0,136.10980887212492
0,58349.48303913395,0.0,0,g,300.0,141.7921804407462
0,58349.48808543024,80.0,0,g,300.0,50.30366310595375
0,58349.49470580061,280.0,0,g,300.0,0.0
0,58349.50053913394,160.0,0,g,300.0,0.0
0,58349.507483578374,160.0,0,g,300.0,0.0
0,58349.51174283763,200.0,0,g,300.0,0.0
0,58349.51600209689,240.0,0,g,300.0,0.0
0,58349.52026135615,280.0,0,g,300.0,0.0
0,58349.52452061541,320.0,0,g,300.0,0.44521724994028994
0,58349.528779874665,0.0,0,g,300.0,0.6335180244163358
0,58349.533826170955,280.0,0,g,300.0,0.0
0,58349.54044654132,120.0,0,g,300.0,0.0
0,58349.54627987465,0.0,0,g,300.0,0.0
0,58349.55322431909,360.0,0,g,300.0,0.0
0,58349.55748357835,320.0,0,g,300.0,0.0
0,58349.56252987464,40.0,0,g,300.0,0.0
0,58350.12068052124,320.0,0,g,300.0,0.0
0,58350.12762496568,320.0,0,g,300.0,0.0
