,mjd,ra,decl,band,exposure_time,reward
0,59465.10114961304,40.0,0,g,300.0,0.9965277777777778
1,59465.108094057476,40.0,0,g,300.0,0.9965277777777778
2,59465.115038501914,40.0,0,g,300.0,0.9965277777777778
3,59465.12198294635,40.0,0,g,300.0,0.9965277777777778
4,59465.12892739079,40.0,0,g,300.0,0.9965277777777778
5,59465.13587183523,40.0,0,g,300.0,0.9965277777777778
6,59465.142816279666,40.0,0,g,300.0,0.9965277777777778
7,59465.1497607241,40.0,0,g,300.0,0.9965277777777778
8,59465.15670516854,40.0,0,g,300.0,0.9965277777777778
9,59465.16364961298,40.0,0,g,300.0,0.9965277777777778
10,59465.17059405742,40.0,0,g,300.0,0.9965277777777778
11,59465.177538501855,40.0,0,g,300.0,0.9965277777777778
12,59465.18448294629,40.0,0,g,300.0,0.9965277777777778
13,59465.19142739073,40.0,0,g,300.0,0.9965277777777778
14,59465.19837183517,40.0,0,g,300.0,0.9965277777777778
15,59465.20531627961,40.0,0,g,300.0,0.9965277777777778
16,59465.212260724045,40.0,0,g,300.0,0.9965277777777778
17,59465.21920516848,40.0,0,g,300.0,0.9965277777777778
18,59465.22614961292,40.0,0,g,300.0,0.9965277777777778
19,59465.23309405736,40.0,0,g,300.0,0.9965277777777778
20,59465.2400385018,40.0,0,g,300.0,0.9965277777777778
21,59465.246982946235,40.0,0,g,300.0,0.9965277777777778
22,59465.25392739067,40.0,0,g,300.0,0.9965277777777778
23,59465.26087183511,40.0,0,g,300.0,0.9965277777777778
24,59465.26781627955,40.0,0,g,300.0,0.9965277777777778
25,59465.27476072399,40.0,0,g,300.0,0.9965277777777778
26,59465.281705168425,40.0,0,g,300.0,0.9965277777777778
27,59465.28864961286,40.0,0,g,300.0,0.9965277777777778
28,59465.29290887212,0.0,0,g,300.0,0.9965277777777778
29,59465.29985331656,0.0,0,g,300.0,0.9965277777777778
30,59465.306797761,0.0,0,g,300.0,0.9965277777777778
31,59465.313742205435,0.0,0,g,300.0,0.9965277777777778
32,59465.32068664987,0.0,0,g,300.0,0.9965277777777778
33,59465.32763109431,0.0,0,g,300.0,0.9965277777777778
34,59465.33457553875,0.0,0,g,300.0,0.9965277777777778
35,59465.34151998319,0.0,0,g,300.0,0.9965277777777778
36,59465.348464427625,0.0,0,g,300.0,0.9965277777777778
37,59465.35540887206,0.0,0,g,300.0,0.9965277777777778
38,59465.3623533165,0.0,0,g,300.0,0.9965277777777778
39,59465.36929776094,0.0,0,g,300.0,0.9965277777777778
40,59465.37624220538,0.0,0,g,300.0,0.9965277777777778
41,59465.383186649815,0.0,0,g,300.0,0.9965277777777778
42,59465.39013109425,0.0,0,g,300.0,0.9965277777777778
43,59465.39707553869,0.0,0,g,300.0,0.9965277777777778
44,59465.40401998313,0.0,0,g,300.0,0.9965277777777778
45,59465.41096442757,0.0,0,g,300.0,0.9965277777777778
46,59465.417908872005,0.0,0,g,300.0,0.9965277777777778
47,59465.42485331644,0.0,0,g,300.0,0.9965277777777778
48,59465.43179776088,0.0,0,g,300.0,0.9965277777777778
49,59465.43874220532,0.0,0,g,300.0,0.9965277777777778
50,59465.44568664976,0.0,0,g,300.0,0.9965277777777778
51,59465.452631094195,0.0,0,g,300.0,0.9965277777777778
52,59465.45957553863,0.0,0,g,300.0,0.9965277777777778
53,59465.46651998307,0.0,0,g,300.0,0.9965277777777778
54,59465.47346442751,0.0,0,g,300.0,0.9965277777777778
55,59465.48040887195,0.0,0,g,300.0,0.9965277777777778
56,59465.484668131205,320.0,0,g,300.0,0.9965277777777778
57,59465.49161257564,320.0,0,g,300.0,0.9965277777777778
58,59465.49855702008,320.0,0,g,300.0,0.9965277777777778
59,59465.50550146452,320.0,0,g,300.0,0.9965277777777778
60,59465.51244590896,320.0,0,g,300.0,0.9965277777777778
61,59465.519390353395,320.0,0,g,300.0,0.9965277777777778
62,59465.52633479783,320.0,0,g,300.0,0.9965277777777778
63,59465.53327924227,320.0,0,g,300.0,0.9965277777777778
64,59465.54022368671,320.0,0,g,300.0,0.9965277777777778
65,59465.54716813115,320.0,0,g,300.0,0.9965277777777778
66,59465.554112575584,320.0,0,g,300.0,0.9965277777777778
67,59465.56105702002,320.0,0,g,300.0,0.9965277777777778
68,59465.56800146446,320.0,0,g,300.0,0.9965277777777778
69,59465.5749459089,320.0,0,g,300.0,0.9965277777777778
70,59466.1000743052,320.0,0,g,300.0,0.9965277777777778
71,59466.10701874964,320.0,0,g,300.0,0.9965277777777778
72,59466.113963194075,320.0,0,g,300.0,0.9965277777777778
73,59466.12090763851,320.0,0,g,300.0,0.9965277777777778
74,59466.12785208295,320.0,0,g,300.0,0.9965277777777778
75,59466.13479652739,320.0,0,g,300.0,0.9965277777777778
76,59466.14174097183,320.0,0,g,300.0,0.9965277777777778
77,59466.148685416265,320.0,0,g,300.0,0.9965277777777778
78,59466.1556298607,320.0,0,g,300.0,0.9965277777777778
79,59466.16257430514,320.0,0,g,300.0,0.9965277777777778
80,59466.16951874958,320.0,0,g,300.0,0.9965277777777778
81,59466.17646319402,320.0,0,g,300.0,0.9965277777777778
82,59466.183407638455,320.0,0,g,300.0,0.9965277777777778
83,59466.19035208289,320.0,0,g,300.0,0.9965277777777778
