,mjd,ra,decl,band,exposure_time,reward
0,59465.10114961304,320.0,0,g,300.0,24321.538145679795
1,59465.10698294637,200.0,0,g,300.0,487.3826238596156
2,59465.113927390805,200.0,0,g,300.0,653.5516650292069
3,59465.12054776117,0.0,0,g,300.0,165.90226348020815
4,59465.12716813154,200.0,0,g,300.0,1417.217867345991
5,59465.13378850191,0.0,0,g,300.0,3311804.9662947576
6,59465.14073294635,0.0,0,g,300.0,517408.44513273635
7,59465.147677390785,0.0,0,g,300.0,127840.50366457272
8,59465.15462183522,0.0,0,g,300.0,44563.19119215446
9,59465.16156627966,0.0,0,g,300.0,19237.83334142468
10,59465.16818665003,200.0,0,g,300.0,60761.647912745786
11,59465.1748070204,0.0,0,g,300.0,5441.565861639984
12,59465.181427390766,200.0,0,g,300.0,765511.9918761556
13,59465.188047761134,0.0,0,g,300.0,2176.1328989725403
14,59465.19499220557,0.0,0,g,300.0,1505.9633253083982
15,59465.20193665001,0.0,0,g,300.0,1084.2930684518983
16,59465.20888109445,0.0,0,g,300.0,824.9726026445128
17,59465.215825538886,0.0,0,g,300.0,660.4685905543304
18,59465.221658872215,240.0,0,g,300.0,586.5723767431591
19,59465.22860331665,240.0,0,g,300.0,798.0097948543095
20,59465.23554776109,240.0,0,g,300.0,1188.184511568014
21,59465.24249220553,240.0,0,g,300.0,1839.1671909043573
22,59465.2491125759,40.0,0,g,300.0,885260.9610506139
23,59465.256057020335,40.0,0,g,300.0,200654.23687228115
24,59465.26300146477,40.0,0,g,300.0,63054.774004994724
25,59465.26994590921,40.0,0,g,300.0,25482.318922976803
26,59465.27656627958,240.0,0,g,300.0,42617.084988697134
27,59465.28351072402,240.0,0,g,300.0,114721.75365170761
28,59465.290455168455,240.0,0,g,300.0,447118.06485832005
29,59465.29739961289,240.0,0,g,300.0,2996524.8496397748
30,59465.30401998326,40.0,0,g,300.0,1630.3534267569032
31,59465.3109644277,40.0,0,g,300.0,1176.3864610875485
32,59465.31790887214,40.0,0,g,300.0,882.4418339849677
33,59465.324853316575,40.0,0,g,300.0,697.3632682322457
34,59465.33179776101,40.0,0,g,300.0,577.7369906985728
35,59465.33763109434,280.0,0,g,300.0,761.0294920463045
36,59465.34457553878,280.0,0,g,300.0,1056.786225431574
37,59465.35151998322,280.0,0,g,300.0,1617.1264114224487
38,59465.358140353586,80.0,0,g,300.0,1506064.7067478923
39,59465.365084798024,80.0,0,g,300.0,294731.3352755084
40,59465.37202924246,80.0,0,g,300.0,84307.47026262936
41,59465.3789736869,80.0,0,g,300.0,32137.114427000874
42,59465.38559405727,280.0,0,g,300.0,32676.43922616809
43,59465.39253850171,280.0,0,g,300.0,83042.19327069324
44,59465.399482946144,280.0,0,g,300.0,290862.1870209865
45,59465.40642739058,280.0,0,g,300.0,1629047.5767196126
46,59465.41304776095,80.0,0,g,300.0,1451.8238064360887
47,59465.41999220539,80.0,0,g,300.0,927.3439358441004
48,59465.42693664983,80.0,0,g,300.0,591.164227756617
