,Unnamed: 0,mjd,ra,decl,band,exposure_time,reward,seeing,clouds,lst,az,alt,zd,ha,airmass,sun_ra,sun_decl,sun_az,sun_alt,sun_zd,sun_ha,moon_ra,moon_decl,moon_az,moon_alt,moon_zd,moon_ha,moon_airmass,moon_phase,moon_illu,moon_Vmag,moon_angle,sky_mag,fwhm,tau,teff,slew
0,0,59465.10114961304,320.0,0,g,300.0,24321.538145679795,0.9,0.0,261.2896690701946,110.35140525650445,23.91231809081498,66.08768190918502,-58.71033092980542,2.4539827606907636,166.53188053647844,5.765596258169477,277.2044074736401,-0.0005532481912878556,90.00055324819128,94.75778853371614,180.29649928795698,3.9337694497587967,267.23670190630685,9.647136637116484,80.35286336288351,80.9931697822376,5.774298591555109,2.887544523913947,0.016048518903936437,-5.36058263434666,139.54906752558236,0.0,1.6218690474196313,0.0,0.0,0.0007870370370370374
1,1,59465.10698294637,200.0,0,g,300.0,487.3826238596156,0.9,0.0,263.3954186781421,252.47670314868017,20.71132171001161,69.28867828998838,63.39541867814211,2.8071283649695147,166.5371314111562,5.76340483125368,278.5075136233412,-1.635097497963622,91.63509749796363,96.85828726698591,180.36647734908485,3.8965729845932335,268.4779014257537,8.027410106608233,81.97258989339177,83.02894132905726,6.83904177776526,2.8862953613365163,0.016205868839285376,-5.36743322832179,19.99689734987188,0.0,1.7480148886928668,0.0,0.0,0.0031481481481481486
2,2,59465.113927390805,200.0,0,g,300.0,653.5516650292069,0.9,0.0,265.90226344900736,254.23274297017102,18.826192356441908,71.17380764355809,65.90226344900736,3.071509296631177,166.54338241877196,5.760795918607899,280.0694596467865,-3.5736616439968847,93.57366164399689,99.35888103023541,180.45104572214012,3.8523131447083836,269.94710769613687,6.099056890572852,83.90094310942715,85.45121772686724,8.737193094553028,2.88480707408654,0.016394325450371727,-5.375709808046237,19.905746399738195,0.0,1.8387407428204747,0.0,0.0,0.0031481481481481486
3,3,59465.12054776117,0.0,0,g,300.0,165.90226348020815,0.9,0.0,268.2921221320013,88.67108303460338,-1.4873289573731958,91.4873289573732,268.2921221320013,0.0,166.54934167864886,5.7583086833092905,281.5723737358835,-5.4130378415283635,95.41303784152836,101.74278045335242,180.5329472287386,3.810144322352201,271.34214986806626,4.261652018886192,85.7383479811138,87.75917490326268,11.775056853548449,2.8833870538193223,0.01657513626870427,-5.383722375769327,176.1513483281102,0.0,0.0,0.0,0.0,0.003472222222222222
4,4,59465.12716813154,200.0,0,g,300.0,1417.217867345991,0.9,0.0,270.6819808149952,257.47594487057836,15.188672274052227,74.81132772594778,70.6819808149952,3.764776856711663,166.5553009052987,5.755821377851635,283.0920015130155,-7.242522520004781,97.24252252000478,104.12667990969649,180.61609912861587,3.7680039871573143,272.73462430490713,2.4262510328017086,87.5737489671983,90.06588168637933,17.541176529628093,2.8819658923274107,0.016757068379789464,-5.391853700722305,19.72831362614243,0.0,2.064031372371018,0.0,0.0,0.0031481481481481486
5,5,59465.13378850191,0.0,0,g,300.0,3311804.9662947576,0.9,0.0,273.0718394979892,91.63383548701722,2.263826848520999,87.736173151479,273.0718394979892,18.292910025273784,166.56126009874333,5.75333400226177,284.63152863669677,-9.060702825188155,99.06070282518816,106.51057939924584,180.70050065227514,3.7258954643934827,274.1273422240278,0.5938972606734563,89.40610273932654,92.37133884571404,30.682107552686965,2.880543605789017,0.016940121680132536,-5.400103037732579,176.20769821776526,18.648790668361872,5.220199814939513,0.0010513349366310506,0.31540048098931517,0.003472222222222222
6,6,59465.14073294635,0.0,0,g,300.0,517408.4451327364,0.9,0.0,275.5786842688544,93.19198794241778,4.22963812210868,85.77036187789132,275.5786842688544,11.845354675912262,166.56751096528842,5.75072479169554,286.2713520674123,-10.954120376883159,100.95412037688315,109.01117330356595,180.7903735207875,3.6817633288670595,275.5915405757668,-1.3237376059252077,91.3237376059252,94.78831074806686,0.0,2.879050505154542,0.01713334036962616,-5.40888197472451,176.2333892870335,19.078343944252563,4.032255924539197,0.0026169490543456533,0.785084716303696,0.003472222222222222
7,7,59465.14767739079,0.0,0,g,300.0,127840.50366457272,0.9,0.0,278.08552904234625,94.75788108128825,6.192461612538759,83.80753838746124,278.08552904234625,8.622297492197205,166.57376179534148,5.7481155040259715,287.940489941806,-12.83167247036564,102.83167247036565,111.51176724700477,180.88161267166484,3.6376731434458476,277.0622813985362,-3.235656777440958,93.23565677744095,97.20391637068141,0.0,2.877556202041985,0.017327792448023183,-5.417788403488534,176.25621975372283,20.243358828489903,3.3422892579729613,0.011136745068208559,3.3410235204625676,0.003472222222222222
8,8,59465.15462183522,0.0,0,g,300.0,44563.19119215446,0.9,0.0,280.5923738105864,96.33526500401757,8.150806978945287,81.84919302105472,280.5923738105864,6.7445812559723635,166.58001258890462,5.745506139293707,289.6428926514892,-14.691452511934466,104.69145251193447,114.0123612216818,180.97421012313066,3.593628168927784,278.5427835280353,-5.140625954427542,95.14062595442755,99.61816368745576,0.0,2.8760607139882097,0.01752347778250407,-5.426820777008315,176.27603690842452,21.053515248075662,2.8932656199307796,0.031338466318705585,9.401539895611675,0.003472222222222222
9,9,59465.16156627966,0.0,0,g,300.0,19237.83334142468,0.9,0.0,283.09921858145,97.92796509974319,10.103144068472135,79.89685593152787,283.09921858145,5.531164120774989,166.58626334601593,5.742896697524457,291.3826306745106,-16.53143128827354,106.53143128827354,116.51295523543405,181.0681555228191,3.549631462717296,280.03629624172345,-7.037380925153605,97.0373809251536,102.03106305863088,0.0,2.87456405822571,0.017720396227340618,-5.435977323321965,176.29269220218768,21.34819317835023,2.5769871136084,0.051813666415973667,15.5440999247921,0.003472222222222222
