,mjd,ra,decl,band,exposure_time,reward
0,58545.08986092271,160.0,0,g,300.0,inf
1,58545.094120181966,200.0,0,g,300.0,inf
2,58545.101064626404,200.0,0,g,300.0,inf
3,58545.10800907084,200.0,0,g,300.0,inf
4,58545.1122683301,160.0,0,g,300.0,-0.13758455
5,58545.11921277454,160.0,0,g,300.0,-0.19365041
6,58545.123472033796,200.0,0,g,300.0,inf
7,58545.130092404164,0.0,0,g,300.0,-0.42291537
8,58545.1370368486,360.0,0,g,300.0,-0.15308282
9,58545.14365721897,200.0,0,g,300.0,inf
10,58545.15027758934,360.0,0,g,300.0,-0.01618919
11,58545.15689795971,160.0,0,g,300.0,-0.31919888
12,58545.163842404145,160.0,0,g,300.0,-0.23230375
13,58545.17078684858,160.0,0,g,300.0,-0.27304202
14,58545.17773129302,160.0,0,g,300.0,-2.365229
15,58545.18356462635,40.0,0,g,300.0,-0.1251396
16,58545.19050907079,40.0,0,g,300.0,-0.298675
17,58545.197453515226,40.0,0,g,300.0,-0.13612162
18,58545.204397959664,40.0,0,g,300.0,-1.4952788
19,58545.20865721892,0.0,0,g,300.0,inf
20,58545.21527758929,200.0,0,g,300.0,-0.040365156
21,58545.22189795966,0.0,0,g,300.0,inf
22,58545.228842404096,0.0,0,g,300.0,inf
23,58545.233101663354,40.0,0,g,300.0,-0.31283164
24,58545.24004610779,40.0,0,g,300.0,-0.14896168
25,58545.24430536705,0.0,0,g,300.0,inf
26,58545.25124981149,0.0,0,g,300.0,inf
27,58545.25550907075,40.0,0,g,300.0,-0.14900987
28,58545.259768330005,0.0,0,g,300.0,inf
29,58545.26638870037,200.0,0,g,300.0,-0.21739095
30,58545.27333314481,200.0,0,g,300.0,-0.26186395
31,58545.28027758925,200.0,0,g,300.0,-0.15339866
32,58545.28722203369,200.0,0,g,300.0,-0.28460214
33,58545.293055367016,80.0,0,g,300.0,-0.38864508
34,58545.299999811454,80.0,0,g,300.0,-0.55284923
35,58545.305046107744,0.0,0,g,300.0,inf
36,58545.310092404034,80.0,0,g,300.0,-0.19549125
37,58545.31703684847,80.0,0,g,300.0,-0.18463309
38,58545.32365721884,240.0,0,g,300.0,-0.042322088
39,58545.33060166328,240.0,0,g,300.0,-0.042517666
40,58545.337546107716,240.0,0,g,300.0,-0.24112399
41,58545.344490552154,240.0,0,g,300.0,-0.14729087
42,58545.35111092252,80.0,0,g,300.0,-0.22242683
43,58545.35805536696,80.0,0,g,300.0,-0.071607664
44,58545.3649998114,80.0,0,g,300.0,-0.106440075
45,58545.371944255836,80.0,0,g,300.0,-0.016644586
46,58545.378564626204,240.0,0,g,300.0,-0.20256779
47,58545.38550907064,240.0,0,g,300.0,-0.28673887
48,58545.39134240397,0.0,0,g,300.0,inf
49,58545.39828684841,0.0,0,g,300.0,inf
50,58545.40523129285,0.0,0,g,300.0,inf
51,58545.412175737285,0.0,0,g,300.0,inf
52,58545.418009070614,120.0,0,g,300.0,-5.651298
53,58545.42495351505,120.0,0,g,300.0,-42.135464
54,58545.43157388542,280.0,0,g,300.0,-0.023339104
55,58545.43662018171,0.0,0,g,300.0,inf
56,58545.441666478,280.0,0,g,300.0,-0.11746826
57,58545.44861092244,280.0,0,g,300.0,-0.47560343
58,58545.455555366876,280.0,0,g,300.0,-0.18093699
59,58545.462175737244,120.0,0,g,300.0,-0.100543365
60,58545.46800907057,0.0,0,g,300.0,inf
61,58545.4738424039,120.0,0,g,300.0,-0.040417
62,58545.47967573723,0.0,0,g,300.0,inf
63,58545.48472203352,280.0,0,g,300.0,-0.26827055
64,58545.49166647796,280.0,0,g,300.0,-0.22050501
65,58545.4986109224,280.0,0,g,300.0,-0.15841505
66,58545.505555366835,280.0,0,g,300.0,-0.35726097
67,58545.510601663125,0.0,0,g,300.0,inf
68,58545.51722203349,160.0,0,g,300.0,-0.2604081
69,58545.52416647793,160.0,0,g,300.0,-0.19463648
70,58545.53111092237,160.0,0,g,300.0,-0.2877364
71,58545.53805536681,160.0,0,g,300.0,-0.19073826
72,58545.544675737176,320.0,0,g,300.0,-0.02703243
73,58545.55162018161,320.0,0,g,300.0,-0.067998245
74,58545.55856462605,320.0,0,g,300.0,-0.34557778
75,58545.56550907049,320.0,0,g,300.0,-0.06494482
76,58545.57212944086,160.0,0,g,300.0,-0.119166315
77,58545.579073885296,160.0,0,g,300.0,-0.079718746
78,58545.58601832973,160.0,0,g,300.0,-0.21314718
79,58545.59296277417,160.0,0,g,300.0,-0.017766574
80,58545.59958314454,0.0,0,g,300.0,inf
81,58545.6038424038,320.0,0,g,300.0,-0.08705514
82,58545.608101663056,0.0,0,g,300.0,inf
83,58545.612360922314,320.0,0,g,300.0,-0.18294714
84,58546.08395309886,320.0,0,g,300.0,-2.2971988
