,mjd,ra,decl,band,exposure_time,reward
0,59128.074742759396,320.0,0,g,300.0,0.0
0,59128.080576092725,80.0,0,g,300.0,0.0
0,59128.08719646309,240.0,0,g,300.0,0.0
0,59128.09224275938,160.0,0,g,300.0,0.0
0,59128.09807609271,40.0,0,g,300.0,0.0
0,59128.10390942604,280.0,0,g,300.0,1.557940199456801
0,59128.11052979641,120.0,0,g,300.0,0.0
0,59128.1155760927,40.0,0,g,300.0,0.0
0,59128.11983535196,0.0,0,g,300.0,13.058910766675911
0,59128.12566868529,240.0,0,g,300.0,36.60241041142918
0,59128.131502018616,0.0,0,g,300.0,43.75417074293434
0,59128.138122388984,200.0,0,g,300.0,0.0
0,59128.143168685274,280.0,0,g,300.0,132.91768597325782
0,59128.14978905564,120.0,0,g,300.0,0.0
0,59128.15640942601,320.0,0,g,300.0,148.10570024574227
0,59128.16335387045,320.0,0,g,300.0,134.3098029214421
0,59128.170298314886,320.0,0,g,300.0,74.00290878602684
0,59128.176131648215,80.0,0,g,300.0,0.0
0,59128.18307609265,80.0,0,g,300.0,0.0
0,59128.18733535191,40.0,0,g,300.0,2.8508442366765716
0,59128.19395572228,200.0,0,g,300.0,0.0
0,59128.19821498154,240.0,0,g,300.0,3.2008805114146734
0,59128.20404831487,120.0,0,g,300.0,0.0
0,59128.210668685235,280.0,0,g,300.0,11.777664101445387
0,59128.21492794449,240.0,0,g,300.0,0.0
0,59128.21997424078,160.0,0,g,300.0,0.0
0,59128.22691868522,160.0,0,g,300.0,0.0
0,59128.23275201855,40.0,0,g,300.0,3.379585487595679
0,59128.23858535188,160.0,0,g,300.0,0.0
0,59128.24520572225,0.0,0,g,300.0,15.40755824527111
0,59128.252150166685,0.0,0,g,300.0,15.386619143612533
0,59128.257983500014,120.0,0,g,300.0,0.0
0,59128.26224275927,80.0,0,g,300.0,0.0
0,59128.2680760926,320.0,0,g,300.0,17.263570017794873
0,59128.27233535186,360.0,0,g,300.0,15.354338190187274
0,59128.27738164815,80.0,0,g,300.0,0.9694458989065892
0,59128.28242794444,0.0,0,g,300.0,15.321793191171786
0,59128.28904831481,160.0,0,g,300.0,0.0
0,59128.293307574066,120.0,0,g,300.0,0.0
0,59128.299140907395,0.0,0,g,300.0,15.208171382182663
0,59128.304187203685,280.0,0,g,300.0,2.6146423337028257
0,59128.31080757405,120.0,0,g,300.0,0.0
0,59128.31585387034,40.0,0,g,300.0,5.5360318813193485
0,59128.32247424071,240.0,0,g,300.0,0.0
0,59128.327520537,160.0,0,g,300.0,0.0
0,59128.33414090737,0.0,0,g,300.0,14.631375773131303
0,59128.33918720366,280.0,0,g,300.0,0.0
0,59128.34423349995,360.0,0,g,300.0,14.365470120420001
0,59128.35117794439,360.0,0,g,300.0,14.154794013281148
0,59128.35622424068,80.0,0,g,300.0,3.354985924289399
0,59128.360483499935,120.0,0,g,300.0,0.0
0,59128.3671038703,280.0,0,g,300.0,0.0
0,59128.37404831474,280.0,0,g,300.0,0.0
0,59128.378307574,240.0,0,g,300.0,0.0
0,59128.38414090733,360.0,0,g,300.0,12.838705994625965
0,59128.38840016659,40.0,0,g,300.0,6.586624736381616
0,59128.394233499916,280.0,0,g,300.0,0.0
0,59128.400853870284,120.0,0,g,300.0,2.4738658423662256
0,59128.40747424065,320.0,0,g,300.0,3.907720622235449
0,59128.41409461102,120.0,0,g,300.0,3.297417117628075
0,59128.41914090731,200.0,0,g,300.0,0.0
0,59128.42497424064,80.0,0,g,300.0,5.183889255752326
0,59128.43002053693,0.0,0,g,300.0,10.152442503695504
0,59128.4366409073,160.0,0,g,300.0,0.0
0,59128.442474240626,280.0,0,g,300.0,0.0
0,59128.449094610995,80.0,0,g,300.0,5.623555399921915
0,59128.45603905543,80.0,0,g,300.0,5.728496449328031
0,59128.4626594258,280.0,0,g,300.0,0.0
0,59128.46770572209,200.0,0,g,300.0,0.0
0,59128.47353905542,80.0,0,g,300.0,5.9489355565127315
0,59128.48015942579,280.0,0,g,300.0,0.0
0,59128.484418685046,240.0,0,g,300.0,0.0
0,59128.490252018375,120.0,0,g,300.0,9.197934123121858
0,59128.49687238874,280.0,0,g,300.0,0.0
0,59128.50349275911,80.0,0,g,300.0,6.177477799488146
0,59128.50932609244,320.0,0,g,300.0,0.0
0,59128.51594646281,120.0,0,g,300.0,10.93895428406956
0,59128.52020572207,80.0,0,g,300.0,6.222458969551942
0,59128.524464981325,40.0,0,g,300.0,5.363665086771291
0,59128.53108535169,200.0,0,g,300.0,0.0
0,59128.53770572206,40.0,0,g,300.0,4.809868099792391
0,59128.54196498132,0.0,0,g,300.0,2.395300557234879
0,59128.54890942576,360.0,0,g,300.0,0.0
0,59128.555853870195,360.0,0,g,300.0,0.0
0,59128.56011312945,320.0,0,g,300.0,0.0
0,59128.56673349982,120.0,0,g,300.0,0.0
0,59128.57177979611,200.0,0,g,300.0,0.0
0,59128.5768260924,280.0,0,g,300.0,0.0
0,59128.58187238869,360.0,0,g,300.0,0.0
0,59128.58691868498,280.0,0,g,300.0,0.0
0,59128.59386312942,280.0,0,g,300.0,0.0
0,59129.06943417573,80.0,0,g,300.0,0.0
0,59129.07526750906,320.0,0,g,300.0,0.0
